,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins,Year
ABILENE-CHRISTIAN,ABILENE-CHRISTIAN,56.7,394,14,1,3.6,38,southland,14,4,623,0.482,1684,0.413,695,0.289,487,0.727,354,0.21,31,6,7,21,1240,Abilene Christian,,96.7,25.5,274,50.1,375,11.6,125,800,0.539,1558,0.48,748,0.473,737,0.688,507,0.325,,33.4,313,527,2186,8.8,180,0.327,509,0.36,183,1049,0.539,565,55.4,1113,0.573,19.2,452,65.9,661,1976,-17.2,9.9,203,-6.34,0.362,610,0.38,232,1074,0.431,463,44.6,897,0.516,17.2,399,0.323,10,2015
AIR-FORCE,AIR-FORCE,65.1,483,11,1,7.4,65,mwc,12,6,665,0.548,1565,0.474,742,0.311,487,0.659,321,0.205,31,5,11,17,1245,Air Force,,107.1,29.1,265,64.3,446,11.3,106,646,0.522,1571,0.442,694,0.349,548,0.688,377,0.24,,31.7,308,530,2017,9.6,183,0.444,698,0.361,252,873,0.506,442,50.6,954,0.551,17.3,383,61.1,552,2037,-1.85,10.3,195,-0.71,0.399,625,0.371,232,940,0.543,510,49.4,930,0.567,16.9,366,0.452,14,2015
AKRON,AKRON,52.8,435,9,2,12.1,155,mac,9,9,829,0.498,1982,0.416,824,0.311,617,0.658,406,0.205,35,3,15,14,1406,Akron,,104.8,33.4,420,48.8,366,9.2,96,836,0.455,1853,0.405,750,0.41,759,0.679,515,0.278,,31.8,387,591,2203,10.6,242,0.31,574,0.328,188,1279,0.439,562,49.5,1223,0.498,16.7,443,64.7,654,2382,3.65,10.1,230,-0.47,0.473,937,0.35,328,1045,0.475,496,50.5,1249,0.523,15.6,422,0.6,21,2015
ALABAMA-AM,ALABAMA-AM,58.2,354,12,5,6.1,68,swac,10,8,631,0.451,1533,0.397,608,0.419,643,0.645,415,0.271,29,7,4,20,1165,Alabama A&M,,95.6,35.8,367,47.6,340,9.1,87,658,0.499,1581,0.452,714,0.412,652,0.627,409,0.259,,36.3,360,556,1988,10.8,203,0.293,464,0.325,151,1117,0.504,563,50.5,1018,0.526,15.4,344,64.5,573,1797,-17.15,8.8,165,-9.62,0.376,577,0.288,166,956,0.462,442,49.5,998,0.489,18.3,413,0.31,9,2015
ALABAMA-BIRMINGHAM,ALABAMA-BIRMINGHAM,59.1,516,8,3,13.0,184,cusa,6,12,888,0.477,2042,0.428,873,0.35,715,0.738,528,0.259,36,4,13,16,1480,UAB,,101.5,34.2,434,49.7,439,10.0,144,834,0.476,2083,0.424,883,0.329,685,0.685,469,0.225,,32.9,435,660,2452,9.1,223,0.32,667,0.325,217,1416,0.47,666,49.0,1269,0.509,16.5,476,65.9,630,2476,1.94,9.7,237,1.62,0.297,607,0.333,202,1435,0.468,671,51.0,1322,0.52,16.8,482,0.556,20,2015
ALABAMA-STATE,ALABAMA-STATE,51.6,393,5,8,10.6,122,swac,4,14,762,0.487,1738,0.438,761,0.35,609,0.65,396,0.228,29,3,9,10,1165,Alabama State,,102.9,35.9,389,49.6,343,6.8,85,695,0.469,1658,0.417,691,0.356,590,0.647,382,0.23,,28.5,304,537,1937,10.3,210,0.308,510,0.339,173,1148,0.451,518,46.5,999,0.5,16.9,394,69.8,520,2090,-8.97,9.1,184,-12.71,0.276,480,0.358,172,1258,0.468,589,53.5,1151,0.515,16.4,397,0.655,19,2015
ALABAMA,ALABAMA,46.1,350,8,4,11.1,125,sec,10,8,797,0.505,1724,0.441,760,0.436,752,0.717,539,0.313,34,5,14,15,1371,Alabama,,105.4,30.0,325,54.3,399,8.0,82,760,0.471,1790,0.411,735,0.392,701,0.706,495,0.277,,32.1,377,664,2180,8.1,175,0.37,663,0.324,215,1127,0.461,520,50.3,1137,0.513,16.4,416,63.1,654,2280,10.52,10.1,219,8.09,0.404,697,0.317,221,1027,0.525,539,49.7,1122,0.548,16.4,407,0.559,19,2015
ALBANY-NY,ALBANY-NY,47.9,349,5,12,5.5,53,america-east,1,15,777,0.499,1666,0.438,729,0.39,650,0.758,493,0.296,33,3,12,9,1325,Albany (NY),,106.4,32.6,334,54.5,380,10.6,116,690,0.496,1657,0.421,697,0.303,502,0.701,352,0.212,,26.1,274,618,1996,7.8,158,0.416,690,0.362,250,967,0.462,447,46.5,964,0.527,17.7,408,61.2,544,2156,-0.34,9.2,187,-5.18,0.343,572,0.358,205,1094,0.479,524,53.5,1111,0.546,16.2,381,0.727,24,2015
ALCORN-STATE,ALCORN-STATE,39.4,285,15,1,6.7,86,swac,14,4,662,0.43,1864,0.388,724,0.378,704,0.658,463,0.248,32,7,4,26,1280,Alcorn State,,94.6,31.2,376,49.2,417,8.2,107,831,0.523,1809,0.469,848,0.396,716,0.679,486,0.269,,35.8,369,567,2377,7.5,164,0.29,525,0.371,195,1284,0.509,653,53.6,1200,0.553,15.6,396,68.2,571,2066,-20.75,8.7,191,-9.95,0.297,553,0.28,155,1311,0.434,569,46.4,1038,0.47,14.3,367,0.188,6,2015
AMERICAN,AMERICAN,59.7,408,13,7,8.0,84,patriot,10,8,639,0.534,1479,0.462,683,0.344,509,0.705,359,0.243,33,3,8,16,1339,American,,101.5,21.4,188,51.1,361,10.0,91,689,0.511,1552,0.455,706,0.331,513,0.678,348,0.224,,31.5,294,562,1933,8.7,167,0.325,505,0.343,173,1047,0.509,533,54.3,983,0.538,18.8,416,57.1,484,1938,-3.56,10.3,196,-3.71,0.386,571,0.373,213,908,0.518,470,45.7,827,0.563,17.7,370,0.515,17,2015
APPALACHIAN-STATE,APPALACHIAN-STATE,49.9,318,12,5,5.4,61,sun-belt,11,9,681,0.456,1602,0.398,637,0.335,537,0.709,381,0.238,29,5,7,17,1160,Appalachian State,,95.4,31.2,329,49.5,364,9.2,93,724,0.506,1604,0.458,735,0.375,602,0.683,411,0.256,,29.9,290,556,2033,9.3,180,0.294,472,0.322,152,1132,0.515,583,50.1,1014,0.538,14.9,332,66.5,551,1841,-9.81,6.3,122,-3.18,0.367,588,0.316,186,1014,0.445,451,49.9,1010,0.496,17.6,397,0.414,12,2015
ARIZONA-STATE,ARIZONA-STATE,53.3,431,10,3,6.1,79,pac-12,9,9,819,0.509,1818,0.445,809,0.421,766,0.667,511,0.281,34,3,15,16,1385,Arizona State,,103.3,31.8,365,51.4,422,12.4,144,781,0.502,1821,0.451,821,0.341,621,0.697,433,0.238,,25.1,274,701,2263,9.1,208,0.285,519,0.362,188,1302,0.486,633,47.1,1055,0.535,17.1,437,66.0,638,2360,9.52,8.7,199,6.66,0.363,660,0.35,231,1158,0.499,578,52.9,1184,0.541,17.8,474,0.529,18,2015
ARIZONA,ARIZONA,52.3,528,3,8,9.8,131,pac-12,2,16,988,0.535,2068,0.488,1009,0.471,974,0.719,700,0.338,38,0,17,4,1525,Arizona,,114.7,34.5,411,47.6,370,6.3,97,780,0.451,1951,0.398,777,0.373,728,0.698,508,0.26,,22.4,285,791,2268,7.1,180,0.315,615,0.335,206,1336,0.427,571,43.2,1065,0.494,18.5,523,66.5,681,2911,24.33,10.8,275,7.41,0.259,536,0.36,193,1532,0.533,816,56.8,1399,0.575,14.2,419,0.895,34,2015
ARKANSAS-LITTLE-ROCK,ARKANSAS-LITTLE-ROCK,51.3,380,9,3,7.9,86,sun-belt,12,8,734,0.478,1779,0.417,741,0.355,632,0.704,445,0.25,31,7,9,18,1275,Little Rock,,102.8,28.8,329,52.1,390,7.5,86,812,0.51,1688,0.444,749,0.402,678,0.677,459,0.272,,31.1,331,578,2180,6.9,145,0.357,602,0.37,223,1086,0.484,526,51.8,1143,0.542,17.2,419,65.5,588,2146,-5.38,8.3,174,-3.81,0.358,636,0.344,219,1143,0.457,522,48.2,1063,0.516,13.6,326,0.419,13,2015
ARKANSAS-PINE-BLUFF,ARKANSAS-PINE-BLUFF,49.2,323,13,5,10.7,108,swac,9,9,601,0.462,1638,0.4,656,0.357,584,0.68,397,0.242,32,4,5,20,1285,Arkansas-Pine Bluff,,92.1,30.5,326,59.0,416,8.5,87,743,0.512,1583,0.445,705,0.488,773,0.673,520,0.328,,39.5,392,546,2140,11.6,240,0.359,569,0.369,210,1014,0.488,495,55.0,1135,0.549,21.0,518,64.7,623,1912,-15.65,13.6,283,-8.61,0.373,611,0.332,203,1027,0.441,453,45.0,927,0.499,20.3,489,0.375,12,2015
ARKANSAS-STATE,ARKANSAS-STATE,48.3,321,9,6,8.1,89,sun-belt,14,6,720,0.459,1631,0.407,664,0.325,530,0.702,372,0.228,29,9,5,18,1170,Arkansas State,,95.5,30.3,318,47.9,343,7.0,78,732,0.484,1681,0.426,716,0.347,583,0.671,391,0.233,,32.2,342,484,2018,9.9,193,0.349,586,0.333,195,1095,0.476,521,50.9,1074,0.515,14.9,343,66.9,496,1869,-10.1,7.9,154,-3.81,0.315,514,0.329,169,1117,0.443,495,49.1,1038,0.496,17.2,390,0.379,11,2015
ARKANSAS,ARKANSAS,59.2,579,5,7,12.0,168,sec,5,13,820,0.5,2196,0.445,978,0.373,819,0.724,593,0.27,36,2,17,9,1450,Arkansas,,109.6,35.7,470,51.6,448,6.9,104,848,0.483,2031,0.428,869,0.388,789,0.715,564,0.278,,34.6,433,696,2525,8.1,206,0.312,634,0.352,223,1397,0.462,646,49.8,1281,0.525,19.1,567,70.1,684,2787,14.07,10.9,277,6.79,0.31,681,0.349,238,1515,0.488,740,50.2,1290,0.539,14.3,430,0.75,27,2015
ARMY,ARMY,56.1,437,8,7,8.8,106,patriot,12,6,708,0.505,1768,0.441,779,0.315,557,0.68,379,0.214,30,7,7,15,1215,Army,,103.2,30.4,325,54.8,423,10.0,107,744,0.509,1684,0.458,772,0.4,673,0.666,448,0.266,,31.1,320,561,2163,9.8,206,0.286,482,0.355,171,1202,0.5,601,50.7,1064,0.54,16.8,404,69.0,612,2164,-6.5,9.2,192,-4.98,0.394,697,0.326,227,1071,0.515,552,49.3,1033,0.532,16.3,396,0.5,15,2015
AUBURN,AUBURN,49.5,376,10,2,7.0,89,sec,14,4,748,0.471,1880,0.404,760,0.484,910,0.666,606,0.322,35,8,9,20,1415,Auburn,,99.0,28.0,356,50.8,451,13.3,153,915,0.523,1892,0.469,887,0.412,779,0.698,544,0.288,,33.8,382,760,2523,9.8,235,0.326,617,0.332,205,1275,0.535,682,54.0,1297,0.558,18.5,513,67.9,708,2378,3.27,9.9,238,8.15,0.387,727,0.347,252,1153,0.441,508,46.0,1104,0.514,16.4,452,0.429,15,2015
AUSTIN-PEAY,AUSTIN-PEAY,54.3,360,14,1,12.1,124,ovc,13,3,670,0.444,1667,0.398,663,0.411,685,0.666,456,0.274,30,7,6,22,1200,Austin Peay,,94.6,33.0,373,55.0,417,8.1,94,758,0.542,1609,0.471,758,0.372,599,0.726,435,0.27,,28.8,271,591,2178,11.7,240,0.365,588,0.386,227,1021,0.52,531,49.7,1029,0.575,18.3,424,68.2,514,1937,-12.45,9.3,191,-2.81,0.308,513,0.302,155,1154,0.44,508,50.3,1043,0.486,17.7,428,0.267,8,2015
BALL-STATE,BALL-STATE,57.2,383,14,1,6.8,71,mac,16,2,677,0.497,1580,0.423,669,0.355,561,0.693,389,0.246,30,9,6,23,1226,Ball State,,99.9,30.2,303,52.1,375,11.0,99,700,0.519,1564,0.46,720,0.41,642,0.693,445,0.285,,28.7,272,536,2070,11.3,221,0.329,514,0.356,183,1050,0.511,537,49.8,972,0.554,16.2,360,64.0,576,1961,-5.06,8.1,159,0.04,0.433,684,0.342,234,896,0.485,435,50.2,980,0.531,18.7,424,0.233,7,2015
BAYLOR,BAYLOR,61.1,497,5,6,11.2,132,big-12,7,11,836,0.497,1874,0.434,813,0.386,723,0.674,487,0.26,34,2,16,10,1370,Baylor,,109.2,42.4,497,69.4,512,10.9,136,676,0.455,1836,0.402,738,0.318,583,0.645,376,0.205,,31.0,376,613,2048,10.4,224,0.356,653,0.3,196,1183,0.458,542,44.1,1052,0.485,16.3,410,62.8,565,2349,17.85,12.2,263,9.33,0.334,626,0.377,236,1248,0.462,577,55.9,1333,0.53,16.4,434,0.706,24,2015
BELMONT,BELMONT,58.7,504,8,7,5.5,66,ovc,5,11,786,0.567,1803,0.476,858,0.324,585,0.692,405,0.225,33,2,12,11,1320,Belmont,,109.9,29.0,307,50.7,433,12.5,117,750,0.515,1889,0.452,854,0.285,539,0.712,384,0.203,,29.6,330,624,2330,9.7,217,0.366,692,0.344,238,1197,0.515,616,49.7,1080,0.543,16.3,418,67.5,549,2450,0.35,9.4,209,-2.77,0.48,866,0.38,329,937,0.565,529,50.3,1093,0.589,17.8,451,0.667,22,2015
